Acceleration in X,Acceleration in Y,Acceleration in Z
1001,79,16
1000,79,19
1001,80,17
1003,81,21
1000,80,21
1003,80,21
1000,81,18
1002,81,18
1002,79,19
1000,81,18
1000,80,19
1003,80,18
1001,80,20
1004,82,19
1001,79,18
1000,79,17
1000,79,14
1000,80,20
1001,81,21
1002,83,17
1000,79,16
1002,81,20
1001,81,19
1001,81,20
1001,79,18
1002,80,20
1001,80,20
1003,81,19
1001,79,18
1002,81,17
1001,80,20
1000,80,19
1002,81,18
1002,80,23
1000,80,20
1000,81,17
1001,80,19
1001,79,19
1000,82,19
1000,80,19
1003,80,17
1000,80,19
1000,80,19
1001,79,19
1000,78,18
1000,80,17
1001,81,20
1000,80,17
1002,80,19
1000,79,16
1002,79,19
1001,80,20
1003,82,18
1001,81,22
1002,79,13
1001,80,20
1000,79,16
1000,80,20
1000,81,20
1000,79,20
1002,77,20
1001,79,19
1001,80,20
1001,78,17
1002,78,18
1002,80,17
1002,80,17
1002,82,19
1000,79,20
1000,81,20
1001,80,17
1003,80,18
1003,80,16
998,81,17
1002,79,17
1000,80,20
1003,81,22
1000,82,16
1002,78,16
1001,79,20
1001,82,19
1003,80,17
999,80,18
1000,80,14
1000,82,19
1000,80,18
1000,80,20
1001,79,20
1000,79,19
1001,80,20
1000,82,20
1000,80,21
1001,80,17
1000,80,19
999,78,16
1000,78,20
1000,81,17
1000,80,21
1000,77,19
999,81,17
1002,79,18
1002,83,18
1000,82,17
1001,79,16
1001,79,15
999,80,20
1001,82,20
1001,79,20
1000,82,16
1003,78,20
1003,82,19
999,80,18
1000,79,19
999,77,16
1000,81,17
1003,81,19
1000,80,19
1000,79,18
1002,80,17
999,82,14
1001,82,20
1001,80,19
1001,79,19
999,80,17
1000,81,17
1000,78,20
1003,80,17
999,81,15
1000,80,19
1001,80,17
1000,82,18
1001,79,19
1000,80,18
999,81,18
1004,82,18
999,81,18
1001,81,20
1000,81,20
1000,80,21
1000,81,15
1000,78,17
1001,81,19
1002,81,20
1001,80,19
1000,80,19
1004,80,17
999,81,19
1001,79,16
1001,79,18
1001,80,18
1002,79,20
1000,80,19
1002,80,19
1002,80,19
1001,80,16
1002,81,15
1001,80,16
1001,80,20
1000,80,20
1001,78,17
1000,81,18
1000,80,18
1000,81,20
1002,78,18
1002,81,19
998,80,20
1000,82,19
1000,79,17
1002,80,17
1001,78,17
999,80,21
1001,81,17
1000,80,17
999,79,20
1001,78,19
1000,82,20
1000,80,20
1000,82,17
1000,82,20
1001,82,20
1000,79,19
1001,81,20
1000,80,17
1000,82,20
1001,79,19
1000,81,20
1000,80,19
1002,77,18
1000,81,21
1000,80,19
1003,80,20
1000,81,19
1003,81,20
1001,80,19
1002,82,19
1000,81,18
1001,80,18
1001,81,19
1001,81,19
1001,81,20
1001,82,20
1002,81,20
1003,81,17
1001,81,18
1000,82,18
1002,80,17
1000,81,19
1002,80,18
1000,80,20
1000,80,19
1002,77,20
1001,80,17
1000,80,18
1000,79,16
1000,81,18
1001,79,16
1000,80,16
1000,82,16
1001,82,18
1000,80,19
1002,82,19
1000,81,16
1000,81,16
1002,80,18
1002,82,17
1001,81,20
1001,80,19
1000,79,19
1003,80,16
1002,81,17
1001,82,20
1000,81,17
1001,81,20
1003,79,20
1001,80,20
1000,79,18
1000,81,17
1002,80,20
1002,80,15
1000,79,18
1003,79,21
1002,81,17
1002,78,19
1001,80,14
1003,82,17
1000,81,18
1001,80,19
1001,78,20
1000,79,18
1000,79,18
1002,81,20
1001,78,18
1001,79,17
1001,80,17
999,78,17
1002,81,18
1001,82,20
1000,80,17
1000,79,20
1000,81,23
1001,78,20
1000,80,17
1001,79,18
1003,81,18
1000,77,16
1003,79,16
1002,80,21
1002,80,20
1001,79,21
1000,80,22
1000,79,18
1000,79,20
999,80,19
1003,81,20
1001,79,19
999,80,18
1002,80,19
1000,81,21
1000,80,18
1001,80,18
1001,78,17
1002,81,17
1002,80,16
1000,78,19
1000,79,19
1000,82,18
1002,82,18
1000,79,20
999,80,20
1000,80,19
1002,81,18
1001,83,23
1000,80,20
1002,82,19
1000,79,19
1000,78,19
1001,80,20
1001,81,20
1001,80,19
1002,81,16
1000,81,21
1001,80,20
1001,81,16
1002,80,15
1000,80,20
1001,79,21
1000,81,16
1001,79,18
1001,79,18
1000,81,20
1002,80,20
1003,78,21
1002,81,18
1002,80,20
1004,80,17
1000,80,20
1002,78,20
1000,80,16
1001,80,19
1000,82,20
1000,81,15
1002,79,21
1001,79,16
1000,78,19
1000,82,22
1001,79,20
999,79,21
1002,81,16
1000,78,22
1002,81,18
1004,80,20
999,81,18
1002,80,19
1000,80,19
1001,82,17
1002,81,15
1001,81,19
1000,78,17
1000,82,20
1002,81,17
1001,80,19
1000,79,19
999,81,19
1000,81,17
1002,81,20
1001,79,20
1001,79,19
1000,82,19
1003,79,16
1002,82,17
1001,83,18
1000,81,19
1001,81,20
1000,78,21
1000,80,18
1000,80,20
1002,79,16
999,78,17
999,81,14
1000,80,21
999,80,17
1000,80,19
1002,79,20
1003,80,19
1001,82,16
1002,79,16
1001,79,19
1002,80,15
999,79,20
1002,81,19
1003,80,18
1002,80,20
1002,79,20
1000,79,21
1001,80,17
1004,80,20
1000,79,22
1002,79,19
1001,80,19
999,79,20
1001,79,19
999,81,21
1002,80,20
1001,80,19
1001,79,18
1001,81,20
1001,80,18
1001,78,21
1001,81,19
1002,81,17
1001,78,21
1001,81,19
1002,79,18
1000,80,17
1000,80,15
1000,79,20
1002,80,18
1001,77,19
1002,81,19
1000,81,15
999,80,20
1001,81,20
1002,81,20
1002,81,20
1002,80,19
1001,81,19
1000,78,17
1002,80,21
1002,82,18
1002,81,18
1002,78,20
1000,79,21
1000,78,20
1001,83,21
1001,81,20
1001,81,19
1000,81,20
1002,81,19
1001,81,19
1000,80,23
1001,80,19
1000,81,20
1002,80,20
1000,80,14
1001,79,20
1003,80,19
1000,79,19
1001,80,20
999,80,18
1000,80,17
1001,80,20
1000,78,18
999,79,16
1000,80,19
1002,78,19
1001,80,20
1002,81,16
1001,82,22
1002,80,19
1001,79,19
1000,80,20
1001,79,17
1000,80,20
1000,78,20
1000,77,18
1004,79,21
1001,78,20
1001,77,16
999,79,19
1001,80,19
1000,79,20
1000,80,19
1001,81,19
1003,79,18
1001,80,18
1001,80,18
1000,79,17
1002,81,17
1001,78,21
1000,79,17
1002,81,18
1001,80,21
1002,80,21
1001,80,17
1000,80,19
1002,82,18
1002,80,22
1001,80,19
1000,78,20
1001,79,18
1000,81,21
998,78,18
1002,82,19
1001,81,19
1003,80,24
1000,79,18
1002,80,17
1001,83,20
1001,79,21
1001,80,20
1002,78,19
1000,79,19
1000,80,19
1000,80,17
1001,81,18
1001,80,20
1002,80,20
1001,80,16
1001,79,12
1000,79,20
1002,80,22
1001,79,17
999,80,16
1001,80,19
1001,79,21
1001,78,18
1001,82,18
1001,80,18
1000,80,16
1001,79,20
